Make_Model,Sadan,SUV,Hatchback,Convertible,Wagon,Coupe,Minivan,Drive Wheels (Available),Seating,Engine (liter),HP,Length (in),Width (in),Height (in),Wheelbase (in),Weight (lbs),Cargo Volume (cu ft.),Overall MPG,Lowest MSRP,Parent Company HQ
Honda Accent,Yes,No,No,No,No,No,No,Front,5,1.6,130,173,68,57,102,2625,14,33,14995,Japan
Hyundai Elantra,Yes,No,No,No,No,No,No,Front,5,1.4,128,182,71,57,106,2865,14,33,18950,Korea
Hyundai Ioniq,No,No,Yes,No,No,No,No,Front,5,Electric,118,176,72,57,106,3070,19.5,52,30200,Korea
Hyundai Kona,No,Yes,No,No,No,No,No,"Front, AWD",5,1.6,75,164,71,61,102,3145,22.5,27.5,19990,Korea
Hyundai Palisade,No,Yes,No,No,No,No,No,"Front, AWD",8,3.8,291,196,78,69,114,4385,21,21,31550,Korea
Hyundai Santa Fe,No,Yes,No,No,No,No,No,"Front, AWD",5,2,235,188,74,66,109,4015,35.5,21,25750,Korea
Hyundai Sonata,Yes,No,No,No,No,No,No,Front,5,1.6,180,193,73,57,112,3247,16,33,23300,Korea
Hyundai Tucson,No,Yes,No,No,No,No,No,"Front, AWD",5,2,164,176,73,65,105,3520,29.5,23,23200,Korea
Hyundai Veloster,No,No,Yes,No,No,No,No,Front,4,1.6,201,167,71,55,104,2795,20,29,18500,Korea
Infinity Q50,Yes,No,No,No,No,No,No,"Rear, AWD",5,2,208,188,72,57,112,3875,14,22,35650,Japan
Infinity Q70,Yes,No,No,No,No,No,No,"Rear, AWD",5,3.7,330,195,73,59,114,3895,15,21,50400,Japan
Infinity QX30,No,Yes,No,No,No,No,No,"Front, AWD",5,2,208,174,72,60,106,3540,21.5,25,30250,Japan
Infinity QX50,No,Yes,No,No,No,No,No,"Front, AWD",5,2,268,185,75,66,110,4155,30.5,22,36650,Japan
Infinity QX60,No,Yes,No,No,No,No,No,"Front, AWD",7,3.5,295,201,77,69,114,4530,39,19,44350,Japan
Infinity QX80,No,Yes,No,No,No,No,No,"Rear, AWD",8,5.6,400,210,80,76,121,5990,49.5,15,65500,Japan
Jaguar E-Pace,No,Yes,No,No,No,No,No,AWD,5,2,246,173,82,65,106,4130,21.5,21,38900,India
Jaguar F-Pace,No,Yes,No,No,No,No,No,AWD,5,2,180,186,87,66,113,4350,28.5,20,44800,India
Jaguar I-Pace,No,Yes,No,No,No,No,No,AWD,5,Electric,394,184,75,61,118,4920,25.5,76,69500,India
Jeep Cherokee,No,Yes,No,No,No,No,No,"Front, AWD, 4WD",5,2,270,182,73,66,107,4070,31,23,24795,USA
Jeep Compass,No,Yes,No,No,No,No,No,"Front, AWD, 4WD",5,2.4,180,173,74,65,104,3525,27.5,24,21845,USA
Jeep Grand Cherokee,No,Yes,No,No,No,No,No,"Rear, 4WD",5,3,240,190,77,68,115,4900,36.5,21,31945,USA
Jeep Renegade,No,Yes,No,No,No,No,No,"Front, AWD",5,1.3,177,167,71,66,101,3360,30.5,24,22025,USA
Jeep Wrangler,No,Yes,No,No,No,No,No,4WD,5,2,270,188,74,74,118,4440,41.5,18,28045,USA
Kia Cadenza,Yes,No,No,No,No,No,No,Front,5,3.3,290,196,74,58,112,3725,16,24,33100,Korea
Kia Forte,Yes,No,No,No,No,No,No,Front,5,2,147,183,71,57,106,2805,15,34,17790,Korea
Kia K900,Yes,No,No,No,No,No,No,4WD,5,3.3,365,202,75,59,122,4735,15,21,59900,Korea
Kia Niro,No,No,No,No,Yes,No,No,Front,5,Electric,201,172,71,60,106,3155,19,43,38500,Korea
Kia Optima,Yes,No,No,No,No,No,No,Front,5,1.6,178,191,73,58,110,3300,16,28,22990,Korea
Kia Rio,Yes,No,Yes,No,No,No,No,Front,5,1.6,130,173,68,57,102,2575,14,33,15390,Korea
Kia Sedona,No,No,No,No,No,No,Yes,Front,8,3.3,276,201,78,69,121,4595,46,20,27200,Korea
Kia Sorento,No,Yes,No,No,No,No,No,"Front, AWD",7,2.4,185,189,74,66,109,4285,37.5,22,26290,Korea
Kia Soul,No,No,No,No,Yes,No,No,Front,5,Electric,201,165,71,63,102,2995,24,108,33950,Korea
Kia Sportage,No,Yes,No,No,No,No,No,"Front, AWD",5,2,240,176,73,64,105,3485,29.5,23,23990,Korea
Kia Stinger,No,No,Yes,No,No,No,No,"Rear, AWD",5,2,255,190,74,55,114,3910,23,23,32990,Korea
Kia Telluride,No,Yes,No,No,No,No,No,"Front, AWD",8,3.8,291,197,78,69,114,4300,47.5,21,31690,Korea
Land Rover Discovery,No,Yes,No,No,No,No,No,AWD,7,3,254,196,82,74,115,5405,42.5,17,52950,India
Land Rover Discovery Sport,No,Yes,No,No,No,No,No,AWD,7,2,246,181,82,68,108,4325,33,21,37990,India
Land Rover Range Rover,No,Yes,No,No,No,No,No,4WD,5,2,254,197,78,72,115,5300,34.7,17,89500,India
Land Rover Range Rover Evoque,No,Yes,No,No,No,No,No,AWD,5,2,246,172,79,65,106,3935,21.5,23,42650,India
Land Rover Range Rover Sport,No,Yes,No,No,No,No,No,4WD,7,2,398,191,78,70,115,5255,31.5,18,68650,India
Land Rover Range Rover Velar,No,Yes,No,No,No,No,No,AWD,5,2,180,189,80,66,113,4350,29,21,49950,India
Lexus ES,Yes,No,No,No,No,No,No,Front,5,2.5,215,196,73,57,113,3770,17,25,39750,Japan
Lexus GS,Yes,No,No,No,No,No,No,"Rear, AWD",5,2,241,192,72,57,112,3845,16,21,46860,Japan
Lexus GX,No,Yes,No,No,No,No,No,4WD,7,4.6,301,192,74,74,110,5170,36.5,17,52500,Japan
Lexus IS,Yes,No,No,No,No,No,No,"Rear, AWD",5,2,241,184,71,56,110,3850,14,20,38560,Japan
Lexus US,Yes,No,No,No,No,No,No,"Rear, AWD",5,3.5,354,206,75,58,123,5170,17,20,75450,Japan
Lexus UX,No,Yes,No,No,No,No,No,"Front, AWD",5,2,169,177,72,60,104,3570,18,37,32150,Japan
Lincoln Aviator,No,Yes,No,No,No,No,No,"Rear, AWD",7,3,400,199,80,70,119,4900,21.5,20,51100,USA
Lincoln Continental,Yes,No,No,No,No,No,No,"Front, AWD",5,2.7,335,201,78,59,118,4540,17,20,46145,USA
Lincoln Corsair,No,Yes,No,No,No,No,No,"Front, AWD",5,2,250,181,76,64,107,3691,34,21,35495,USA
Lincoln MKZ,Yes,No,No,No,No,No,No,"Front, AWD",5,2,188,194,73,58,112,3755,15,40,35995,USA
Lincoln Nautilus,No,Yes,No,No,No,No,No,"Front, AWD",5,2,245,190,76,66,112,4560,32.5,18,40340,USA
Lincoln Navigator,No,Yes,No,No,No,No,No,"Rear, AWD",8,3.5,411,210,84,76,123,6100,56,16,73205,USA
Maserati Ghibli,Yes,No,No,No,No,No,No,"Rear, AWD",5,3,345,196,77,58,118,4625,18,19,74980,Italy
Maserati Levante,No,Yes,No,No,No,No,No,AWD,5,3,345,197,78,66,118,4905,20.5,16,75980,Italy
Mazda 3,Yes,No,Yes,No,No,No,No,"Front, AWD",5,3,345,184,71,57,107,3025,13,30,21000,Japan
Mazda 6,Yes,No,No,No,No,No,No,Front,5,2.5,186,192,72,57,111,3405,15,28,23800,Japan
Mazda CX-3,No,Yes,No,No,No,No,No,"Front, AWD",5,2,187,168,70,61,101,2945,18,28,20390,Japan
Mazda CX-5,No,Yes,No,No,No,No,No,"Front, AWD",5,2.2,250,179,73,66,106,3590,30.5,24,24350,Japan
Mazda CX-9,No,Yes,No,No,No,No,No,"Front, AWD",7,2.5,227,200,76,68,113,4585,34,32,32280,Japan
Mazda Mx-5 Miata,No,No,No,Yes,No,No,No,Rear,2,2,181,154,68,49,91,2335,5,34,25730,Japan
Mercedes-Benz A Class,Yes,No,No,No,No,No,No,"Front, AWD",5,2,188,179,71,57,107,3425,9,28,32500,Germany
Mercedes-Benz C Class,Yes,No,No,Yes,No,Yes,No,"Rear, AWD",5,2,255,185,71,57,112,3670,13,26,41400,Germany
Mercedes-Benz CLA,Yes,No,No,No,No,No,No,"Front, AWD",5,2,221,185,72,57,107,3335,16,27,33100,Germany
Mercedes-Benz CLS,Yes,No,No,No,No,No,No,"Rear, AWD",5,3,362,199,74,55,116,4255,12,26,69200,Germany
Mercedes-Benz E-Class,Yes,No,No,Yes,Yes,Yes,No,"Rear, AWD",5,2,255,194,73,57,116,4030,16,24,53500,Germany
Mercedes-Benz GLA,No,Yes,No,No,No,No,No,"Front, AWD",5,2,208,174,71,60,106,3535,23,26,33950,Germany
Mercedes-Benz GLC,No,Yes,No,No,No,No,No,"Rear, AWD",5,2,241,183,74,65,113,4010,28,22,40700,Germany
Mercedes-Benz GLE,No,Yes,No,No,No,No,No,"Rear, AWD",5,2,255,194,77,71,118,5150,36.5,20,53700,Germany
Mercedes-Benz GLS,No,Yes,No,No,No,No,No,AWD,7,3,362,205,77,73,123,5660,16,18,75200,Germany
Mercedes-Benz S-Class,Yes,No,No,Yes,No,Yes,No,"Rear, AWD",5,3,362,207,75,59,125,4935,16,18,91250,Germany
Mini Cooper,No,No,Yes,Yes,No,No,No,Front,4,1.5,134,151,68,56,98,2775,9,30,21900,Germany
Mini Cooper Clubman,No,No,No,No,Yes,No,No,"Front, AWD",5,1.5,134,168,71,57,105,3175,23,28,24900,Germany
Mini Cooper Countryman,No,Yes,No,No,No,No,No,"Front, AWD",5,1.5,134,170,72,61,105,3690,23.5,25,26900,Germany
Mitsubishi Eclipse Cross,No,Yes,No,No,No,No,No,"Front, AWD",5,1.5,152,173,71,67,105,3515,22.5,24,23595,Japan
Mitsubishi Mirage,No,Yes,Yes,No,No,No,No,Front,5,1.2,78,149,66,59,97,2085,17,37,13795,Japan
Mitsubishi Outlander,No,Yes,No,No,No,No,No,"Front, AWD",7,2,197,185,71,66,105,3610,32.5,24,24695,Japan
Mitsubishi Outlander Sport,No,Yes,No,No,No,No,No,"Front, AWD",5,2,148,169,70,64,105,3290,25.5,26,20945,Japan
Nissan Altima,Yes,No,No,No,No,No,No,"Front, AWD",5,2,248,193,73,57,111,3240,15,31,24000,Japan
Nissan Armada,No,Yes,No,No,No,No,No,"Rear, 4WD",7,5.6,390,209,80,76,121,5910,47,14,47100,Japan
Nissan Kicks,No,No,No,No,Yes,No,No,Front,5,1.6,125,169,69,62,103,2630,25,32,18640,Japan
Nissan Leaf,No,No,Yes,No,No,No,No,Front,5,Electric,147,176,71,61,106,3440,24,112,29690,Japan
Nissan Maxima,Yes,No,No,No,No,No,No,Front,5,3.5,300,193,73,57,109,3535,14,25,34050,Japan
Nissan Murano,No,Yes,No,No,No,No,No,"Front, AWD",5,3.5,260,192,75,67,111,4025,33.5,21,31370,Japan
Nissan Pathfinder,No,Yes,No,No,No,No,No,"Front, AWD",7,3.5,284,199,77,70,114,4505,39.5,18,31530,Japan
Nissan Rogue,No,Yes,No,No,No,No,No,"Front, AWD",5,2.5,170,185,72,66,107,3590,31.5,24,25020,Japan
Nissan Rogue Sport,No,Yes,No,No,No,No,No,"Front, AWD",5,2,141,172,72,63,104,3365,24.5,26,22340,Japan
Nissan Sentra,Yes,No,No,No,No,No,No,Front,5,1.6,188,182,69,59,106,2865,15,31,17890,Japan
Nissan Versa,Yes,No,No,No,No,No,No,Front,5,1.6,122,175,67,60,102,2494,38.3,34,14730,Japan
Nissan Z,No,No,No,Yes,No,Yes,No,Rear,2,3.7,322,167,73,52,100,3385,7,23,34040,Japan
Porsche 718 Boxster,No,No,No,Yes,No,No,No,Rear,2,2,300,172,71,50,97,3150,4,26,59000,Germany
Porsche 718 Cayman,No,No,No,No,No,Yes,No,Rear,2,2,300,172,71,51,97,3055,10,24,56900,Germany
Porsche 911,No,No,No,Yes,No,Yes,No,"Rear, AWD",4,3,443,178,73,51,97,3380,5,23,113000,Germany
